transaction_id,user_id,feature,amount,timestamp,status
1,55,Top-up,60.25,2025-03-05 01:54:33,Success
2,177,Investments,105.97,2024-08-13 07:46:38,Success
3,672,Top-up,66.42,2024-12-05 15:47:55,Success
4,505,Investments,34.37,2024-08-05 06:10:59,Success
5,315,Bill Payment,14.42,2024-08-31 09:06:15,Success
6,365,QR Scan,13.54,2024-07-25 11:57:50,Failed
7,757,Money Transfer,45.01,2025-05-28 14:31:24,Success
8,505,Top-up,16.09,2025-05-11 18:08:38,Success
9,739,Investments,58.3,2024-09-30 09:33:45,Success
10,702,Investments,7.26,2025-06-10 13:33:37,Success
11,709,Top-up,62.89,2024-10-23 19:31:13,Success
12,6,Money Transfer,85.85,2025-06-02 16:13:31,Success
13,372,Investments,44.27,2024-08-03 13:26:47,Success
14,7,Bill Payment,30.34,2025-05-16 02:57:11,Failed
15,293,Investments,1.42,2025-02-01 14:29:45,Success
16,949,Money Transfer,22.52,2024-12-24 06:33:14,Success
17,3,Investments,81.72,2024-10-24 12:42:27,Failed
18,102,Investments,132.72,2025-01-31 01:06:13,Success
19,231,Bill Payment,2.95,2025-01-15 12:56:48,Failed
20,266,Investments,5.2,2025-02-10 19:19:34,Success
21,407,Money Transfer,84.82,2024-09-20 08:40:50,Success
22,788,Top-up,67.92,2025-01-29 08:51:44,Success
23,975,Bill Payment,18.8,2024-08-29 23:18:54,Success
24,191,Investments,111.73,2024-09-20 17:16:45,Success
25,645,Top-up,76.6,2024-12-12 14:37:37,Success
26,476,Top-up,133.88,2024-08-07 11:40:04,Success
27,407,Top-up,8.99,2024-11-11 14:11:52,Success
28,871,QR Scan,7.24,2025-01-30 07:59:09,Success
29,12,Investments,64.67,2025-04-30 20:49:55,Success
30,129,QR Scan,78.67,2025-02-12 19:11:19,Failed
31,997,Top-up,14.46,2025-03-19 08:59:55,Success
32,902,Investments,91.27,2025-03-04 07:20:21,Success
33,15,QR Scan,23.98,2024-07-26 15:19:24,Abandoned
34,10,Bill Payment,57.85,2025-05-10 11:10:33,Success
35,334,QR Scan,1.84,2024-10-10 03:48:10,Success
36,855,QR Scan,83.61,2024-09-27 21:06:10,Abandoned
37,606,Investments,18.8,2024-12-02 20:26:11,Success
38,408,Investments,119.33,2025-05-12 07:44:30,Failed
39,430,Top-up,24.28,2024-10-28 08:24:39,Success
40,638,Top-up,5.1,2024-11-01 03:10:27,Abandoned
41,530,Money Transfer,18.99,2025-04-21 02:50:26,Success
42,38,Top-up,32.05,2024-08-19 15:57:54,Abandoned
43,88,QR Scan,15.08,2025-05-10 05:52:36,Success
44,233,Top-up,4.87,2025-02-14 05:24:14,Success
45,27,Investments,26.11,2025-04-19 13:45:44,Abandoned
46,577,Investments,42.71,2024-08-05 05:27:28,Success
47,554,Bill Payment,0.0,2024-07-21 21:52:52,Failed
48,894,Money Transfer,27.66,2024-09-10 03:16:33,Failed
49,236,Money Transfer,14.85,2025-06-08 11:39:40,Success
50,898,Bill Payment,30.2,2024-07-24 15:25:26,Success
51,54,Investments,26.11,2025-05-17 14:00:52,Failed
52,488,Top-up,5.14,2025-04-20 00:53:40,Abandoned
53,881,Bill Payment,33.58,2025-04-03 09:06:28,Abandoned
54,415,QR Scan,1.21,2024-10-16 12:18:19,Abandoned
55,970,Money Transfer,25.19,2024-09-02 02:28:37,Success
56,239,Money Transfer,2.45,2024-12-16 19:06:49,Success
57,758,QR Scan,5.47,2025-06-04 12:03:08,Success
58,893,Bill Payment,82.88,2024-09-20 23:06:02,Success
59,171,Top-up,29.96,2025-04-27 09:38:48,Success
60,258,QR Scan,3.99,2024-12-23 18:12:34,Failed
61,841,Money Transfer,106.1,2025-06-15 06:56:12,Success
62,816,Top-up,70.42,2025-03-07 13:07:18,Success
63,255,Money Transfer,28.95,2025-06-21 01:47:13,Success
64,230,Money Transfer,190.51,2025-01-02 08:07:56,Success
65,29,Bill Payment,16.75,2024-12-31 08:31:14,Failed
66,583,Money Transfer,30.58,2024-09-14 07:51:21,Success
67,694,Bill Payment,5.19,2024-07-15 06:48:39,Success
68,513,Investments,80.53,2024-10-23 21:32:48,Success
69,860,Top-up,27.33,2025-02-23 21:01:49,Abandoned
70,454,Investments,3.51,2025-03-27 22:32:49,Success
71,505,QR Scan,26.22,2025-03-18 11:38:39,Success
72,272,QR Scan,0.52,2025-02-05 06:37:21,Success
73,377,Investments,19.03,2024-10-24 03:04:03,Success
74,889,QR Scan,35.79,2025-06-28 04:59:16,Success
75,979,Investments,65.29,2024-08-23 17:25:10,Abandoned
76,34,Top-up,136.03,2025-06-02 07:04:24,Success
77,757,Money Transfer,84.67,2024-08-18 16:41:59,Success
78,41,QR Scan,80.21,2025-02-25 03:10:28,Success
79,712,Bill Payment,54.67,2024-12-03 11:54:23,Success
80,120,Bill Payment,80.73,2025-04-26 14:33:46,Failed
81,394,Bill Payment,15.08,2025-01-27 01:39:19,Success
82,968,Bill Payment,34.49,2024-08-24 21:06:18,Success
83,180,Bill Payment,319.21,2025-05-28 07:03:02,Success
84,584,Top-up,1.82,2024-11-25 20:13:50,Success
85,769,Bill Payment,16.03,2024-09-18 13:32:12,Success
86,689,QR Scan,7.0,2024-09-13 09:40:03,Success
87,168,Investments,62.69,2024-10-17 12:22:24,Success
88,593,QR Scan,34.81,2025-01-22 10:03:09,Success
89,234,QR Scan,15.06,2025-03-13 07:13:14,Success
90,38,Bill Payment,49.27,2024-12-14 19:56:12,Success
91,30,Money Transfer,110.88,2025-02-20 21:21:55,Abandoned
92,899,QR Scan,85.02,2024-12-26 22:41:08,Abandoned
93,239,Investments,30.99,2024-10-25 00:43:13,Failed
94,307,QR Scan,22.56,2024-09-01 17:26:12,Success
95,808,Top-up,12.38,2025-04-29 16:15:46,Success
96,74,Investments,4.72,2025-06-03 09:39:52,Success
97,818,Money Transfer,90.91,2025-03-04 08:33:06,Success
98,87,Bill Payment,93.34,2024-10-02 13:07:48,Success
99,254,Bill Payment,13.97,2024-10-05 03:31:33,Success
100,600,Investments,214.94,2025-06-29 19:54:54,Success
101,852,Top-up,4.78,2024-11-01 10:35:54,Failed
102,792,Top-up,103.82,2025-05-27 04:41:03,Success
103,470,Bill Payment,15.68,2025-04-27 11:22:25,Success
104,595,Money Transfer,36.37,2025-05-22 00:28:43,Failed
105,276,Bill Payment,19.25,2024-11-02 01:31:20,Success
106,592,Investments,46.36,2024-08-22 01:04:57,Success
107,55,Investments,125.88,2025-06-19 08:16:34,Success
108,973,Investments,64.62,2025-06-02 04:12:11,Success
109,770,QR Scan,5.18,2025-02-21 07:23:19,Success
110,52,Money Transfer,11.23,2024-09-29 14:11:56,Success
111,463,Money Transfer,48.19,2025-05-08 06:07:19,Success
112,232,Money Transfer,8.89,2025-06-10 10:33:07,Success
113,648,Top-up,10.8,2025-06-20 01:43:27,Abandoned
114,965,Investments,7.42,2025-04-14 22:11:59,Success
115,372,Bill Payment,49.21,2024-12-15 20:32:22,Abandoned
116,841,Bill Payment,1.02,2025-01-19 09:06:50,Success
117,471,Investments,58.46,2024-08-11 02:35:29,Success
118,94,Bill Payment,14.43,2025-04-27 19:41:39,Failed
119,269,Money Transfer,12.78,2024-11-30 23:22:47,Success
120,843,Bill Payment,17.37,2024-09-26 17:21:43,Success
121,373,Bill Payment,26.9,2024-07-10 22:30:36,Success
122,831,Bill Payment,132.37,2025-03-28 07:13:01,Success
123,551,QR Scan,36.93,2025-03-05 06:31:47,Success
124,527,Investments,24.77,2024-09-07 21:48:16,Failed
125,675,Investments,46.22,2025-02-24 08:44:29,Success
126,454,QR Scan,153.83,2024-11-06 01:17:33,Success
127,327,Investments,32.75,2025-03-10 20:21:38,Success
128,596,Top-up,74.75,2025-06-18 09:46:31,Success
129,985,Investments,22.76,2025-01-17 20:33:39,Success
130,716,QR Scan,58.16,2025-04-13 06:56:36,Failed
131,890,Money Transfer,35.86,2024-08-25 18:26:59,Success
132,492,Top-up,68.55,2025-04-29 05:07:39,Success
133,145,QR Scan,118.93,2024-11-25 18:01:12,Success
134,658,Bill Payment,10.03,2024-07-17 21:22:53,Failed
135,516,QR Scan,84.16,2024-08-08 23:11:15,Success
136,70,QR Scan,29.5,2025-03-03 07:56:10,Success
137,329,Money Transfer,75.29,2025-03-15 19:58:27,Success
138,60,Top-up,165.68,2025-05-25 02:08:02,Success
139,684,Investments,115.54,2024-11-25 17:57:04,Success
140,985,Top-up,42.69,2025-01-08 14:37:41,Success
141,479,Top-up,8.0,2024-09-08 05:49:00,Failed
142,929,Bill Payment,52.38,2024-09-17 22:23:05,Failed
143,463,Money Transfer,4.74,2024-12-04 20:02:04,Success
144,551,Top-up,147.9,2025-06-25 13:47:09,Failed
145,298,Top-up,53.38,2024-10-06 16:25:39,Success
146,839,Investments,110.15,2024-07-22 20:25:07,Success
147,373,QR Scan,7.53,2025-04-14 09:08:17,Success
148,819,Money Transfer,36.6,2025-05-03 12:46:08,Success
149,811,Top-up,33.18,2024-11-21 00:50:46,Success
150,291,Bill Payment,25.65,2024-09-18 14:17:59,Success
151,792,QR Scan,86.04,2025-04-28 17:57:04,Success
152,537,Investments,91.52,2025-06-26 11:00:48,Success
153,171,Investments,50.69,2025-02-05 19:55:12,Success
154,776,Top-up,11.03,2024-08-08 07:25:40,Success
155,106,Bill Payment,8.08,2025-04-08 18:04:53,Success
156,217,Top-up,11.57,2024-09-27 17:20:53,Success
157,639,QR Scan,34.98,2024-10-13 04:15:12,Success
158,43,Bill Payment,19.06,2024-10-29 21:07:55,Success
159,322,Money Transfer,31.7,2025-04-12 08:11:20,Success
160,797,Top-up,29.76,2025-04-05 22:51:58,Success
161,431,Top-up,51.71,2025-03-01 10:32:29,Failed
162,377,Investments,45.4,2024-10-12 06:16:43,Success
163,515,Bill Payment,48.28,2025-06-16 15:57:18,Success
164,82,Top-up,115.59,2024-10-03 16:18:21,Failed
165,682,Investments,13.8,2024-11-13 04:32:54,Abandoned
166,264,Investments,44.22,2024-09-17 14:25:20,Success
167,656,Top-up,24.13,2024-11-05 02:00:38,Success
168,17,Bill Payment,24.53,2024-09-30 02:55:27,Success
169,727,Bill Payment,94.59,2024-08-12 02:25:50,Success
170,260,QR Scan,42.1,2025-05-14 17:58:03,Success
171,665,Money Transfer,116.22,2025-05-12 01:13:16,Failed
172,304,QR Scan,108.39,2024-07-24 18:38:48,Success
173,726,Investments,6.52,2025-02-11 09:18:53,Success
174,993,Money Transfer,40.39,2025-05-08 17:06:08,Success
175,266,QR Scan,3.03,2025-02-07 00:59:16,Success
176,779,Investments,72.68,2024-09-09 23:45:48,Success
177,512,Top-up,36.81,2025-07-04 23:15:05,Success
178,106,Bill Payment,0.72,2024-10-13 16:18:44,Failed
179,988,Money Transfer,39.45,2024-12-08 13:16:21,Failed
180,738,Bill Payment,70.95,2025-01-31 20:05:58,Success
181,471,Investments,18.75,2025-06-21 08:03:35,Abandoned
182,946,Bill Payment,67.17,2024-10-13 08:53:52,Failed
